1437,勤益,上市,半導體業
2302,麗正,上市,半導體業
2303,聯電,上市,半導體業
2311,日月光,上市,半導體業
2325,矽品,上市,半導體業
2329,華泰,上市,半導體業
2330,台積電,上市,半導體業
2337,旺宏,上市,半導體業
2338,光罩,上市,半導體業
2342,茂矽,上市,半導體業
2344,華邦電,上市,半導體業
2351,順德,上市,半導體業
2363,矽統,上市,半導體業
2369,菱生,上市,半導體業
2379,瑞昱,上市,半導體業
2388,威盛,上市,半導體業
2401,凌陽,上市,半導體業
2408,南亞科,上市,半導體業
2434,統懋,上市,半導體業
2436,偉詮電,上市,半導體業
2441,超豐,上市,半導體業
2449,京元電,上市,半導體業
2451,創見,上市,半導體業
2454,聯發科,上市,半導體業
2458,義隆,上市,半導體業
2481,強茂,上市,半導體業
3006,晶豪科,上市,半導體業
3014,聯陽,上市,半導體業
3016,嘉晶,上市,半導體業
3034,聯詠,上市,半導體業
3035,智原,上市,半導體業
3041,揚智,上市,半導體業
3054,萬國,上市,半導體業
3094,聯傑,上市,半導體業
3189,景碩,上市,半導體業
3257,虹冠電,上市,半導體業
3443,創意,上市,半導體業
3474,華亞科,上市,半導體業
3519,綠能,上市,半導體業
3532,台勝科,上市,半導體業
3545,旭曜,上市,半導體業
3559,全智科,上市,半導體業
3579,尚志,上市,半導體業
3583,辛耘,上市,半導體業
3588,通嘉,上市,半導體業
3598,奕力,上市,半導體業
3661,F-世芯,上市,半導體業
3686,達能,上市,半導體業
4919,新唐,上市,半導體業
4952,凌通,上市,半導體業
5269,祥碩,上市,半導體業
5285,界霖,上市,半導體業
5305,敦南,上市,半導體業
5471,松翰,上市,半導體業
6202,盛群,上市,半導體業
6239,力成,上市,半導體業
6243,迅杰,上市,半導體業
6257,矽格,上市,半導體業
6271,同欣電,上市,半導體業
6286,立錡,上市,半導體業
6415,F-矽力,上市,半導體業
8016,矽創,上市,半導體業
8081,致新,上市,半導體業
8110,華東,上市,半導體業
8131,福懋科,上市,半導體業
8150,南茂,上市,半導體業
8261,富鼎,上市,半導體業
8271,宇瞻,上市,半導體業
3073,普格,上櫃,半導體業
3105,穩懋,上櫃,半導體業
3141,晶宏,上櫃,半導體業
3169,亞信,上櫃,半導體業
3188,安茂,上櫃,半導體業
3219,倚強,上櫃,半導體業
3227,原相,上櫃,半導體業
3228,金麗科,上櫃,半導體業
3252,海灣科,上櫃,半導體業
3259,鑫創,上櫃,半導體業
3260,威剛,上櫃,半導體業
3264,欣銓,上櫃,半導體業
3265,台星科,上櫃,半導體業
3268,海德威,上櫃,半導體業
3291,遠翔科,上櫃,半導體業
3317,尼克森,上櫃,半導體業
3372,典範,上櫃,半導體業
